Contact,Date1,Date2,start x,start y,end x,end y
RCT02_pMedian_6,15-Feb-2023,06-Mar-2023,1343.705,1111.691,147.0689,589.9534
RCT02_pMedian_6,15-Feb-2023,06-Mar-2023,1343.705,1111.691,375.8828,270.7118
RCT02_pMedian_6,15-Feb-2023,06-Mar-2023,1343.705,1111.691,503.9662,176.661
RCT02_pMedian_6,15-Feb-2023,06-Mar-2023,1343.705,1111.691,1416.424,206.8478
RCT02_pMedian_6,15-Feb-2023,06-Mar-2023,1343.705,1111.691,1557.501,322.8545
RCT02_pMedian_6,15-Feb-2023,06-Mar-2023,1343.705,1111.691,1782.899,640.0765
RCT02_pMedian_6,15-Feb-2023,06-Mar-2023,1343.705,1111.691,139.9551,581.4138
RCT02_pMedian_6,15-Feb-2023,06-Mar-2023,1343.705,1111.691,373.8609,247.4369
RCT02_pMedian_6,15-Feb-2023,06-Mar-2023,1343.705,1111.691,463.8974,173
RCT02_pMedian_6,15-Feb-2023,06-Mar-2023,1343.705,1111.691,1456.616,167.7651
RCT02_pMedian_6,15-Feb-2023,06-Mar-2023,1343.705,1111.691,1573.224,246.3226
RCT02_pMedian_6,15-Feb-2023,06-Mar-2023,1343.705,1111.691,1806.448,619.0574
RCT02_pMedian_6,15-Feb-2023,06-Mar-2023,1343.705,1111.691,298.174,536.4827
RCT02_pMedian_6,15-Feb-2023,06-Mar-2023,1343.705,1111.691,1428.942,197.401
RCT02_pMedian_6,15-Feb-2023,06-Mar-2023,1343.705,1111.691,1555.082,340.7026
RCT02_pMedian_6,15-Feb-2023,06-Mar-2023,1343.705,1111.691,1769.198,656.7837
RCT02_pMedian_6,15-Feb-2023,06-Mar-2023,1343.705,1111.691,168.9905,613.9637
RCT02_pMedian_6,15-Feb-2023,06-Mar-2023,1343.705,1111.691,379.3333,321.101
RCT02_pMedian_6,15-Feb-2023,06-Mar-2023,1343.705,1111.691,503.0023,208.9118
RCT02_pMedian_6,15-Feb-2023,06-Mar-2023,1343.705,1111.691,152.7961,592.941
RCT02_pMedian_6,15-Feb-2023,06-Mar-2023,1343.705,1111.691,376.9438,295.2873
RCT02_pMedian_6,15-Feb-2023,06-Mar-2023,1343.705,1111.691,502.9478,184.7784
RCT02_pMedian_6,06-Mar-2023,04-Apr-2023,147.0689,589.9534,151.9685,583.4526
RCT02_pMedian_6,06-Mar-2023,04-Apr-2023,147.0689,589.9534,377.1738,274.6032
RCT02_pMedian_6,06-Mar-2023,04-Apr-2023,147.0689,589.9534,157.9218,564.0581
RCT02_pMedian_6,06-Mar-2023,04-Apr-2023,147.0689,589.9534,376.9059,286.4912
RCT02_pMedian_6,06-Mar-2023,04-Apr-2023,147.0689,589.9534,165.3701,593.2117
RCT02_pMedian_6,06-Mar-2023,04-Apr-2023,147.0689,589.9534,378.8018,290.2178
RCT02_pMedian_6,06-Mar-2023,04-Apr-2023,375.8828,270.7118,151.9685,583.4526
RCT02_pMedian_6,06-Mar-2023,04-Apr-2023,375.8828,270.7118,377.1738,274.6032
RCT02_pMedian_6,06-Mar-2023,04-Apr-2023,375.8828,270.7118,157.9218,564.0581
RCT02_pMedian_6,06-Mar-2023,04-Apr-2023,375.8828,270.7118,376.9059,286.4912
RCT02_pMedian_6,06-Mar-2023,04-Apr-2023,375.8828,270.7118,165.3701,593.2117
RCT02_pMedian_6,06-Mar-2023,04-Apr-2023,375.8828,270.7118,378.8018,290.2178
RCT02_pMedian_6,06-Mar-2023,04-Apr-2023,503.9662,176.661,151.9685,583.4526
RCT02_pMedian_6,06-Mar-2023,04-Apr-2023,503.9662,176.661,377.1738,274.6032
RCT02_pMedian_6,06-Mar-2023,04-Apr-2023,503.9662,176.661,157.9218,564.0581
RCT02_pMedian_6,06-Mar-2023,04-Apr-2023,503.9662,176.661,376.9059,286.4912
RCT02_pMedian_6,06-Mar-2023,04-Apr-2023,503.9662,176.661,165.3701,593.2117
RCT02_pMedian_6,06-Mar-2023,04-Apr-2023,503.9662,176.661,378.8018,290.2178
RCT02_pMedian_6,06-Mar-2023,04-Apr-2023,1416.424,206.8478,151.9685,583.4526
RCT02_pMedian_6,06-Mar-2023,04-Apr-2023,1416.424,206.8478,377.1738,274.6032
RCT02_pMedian_6,06-Mar-2023,04-Apr-2023,1416.424,206.8478,157.9218,564.0581
RCT02_pMedian_6,06-Mar-2023,04-Apr-2023,1416.424,206.8478,376.9059,286.4912
RCT02_pMedian_6,06-Mar-2023,04-Apr-2023,1416.424,206.8478,165.3701,593.2117
RCT02_pMedian_6,06-Mar-2023,04-Apr-2023,1416.424,206.8478,378.8018,290.2178
RCT02_pMedian_6,06-Mar-2023,04-Apr-2023,1557.501,322.8545,151.9685,583.4526
RCT02_pMedian_6,06-Mar-2023,04-Apr-2023,1557.501,322.8545,377.1738,274.6032
RCT02_pMedian_6,06-Mar-2023,04-Apr-2023,1557.501,322.8545,157.9218,564.0581
RCT02_pMedian_6,06-Mar-2023,04-Apr-2023,1557.501,322.8545,376.9059,286.4912
RCT02_pMedian_6,06-Mar-2023,04-Apr-2023,1557.501,322.8545,165.3701,593.2117
