Contact,Date1,Date2,start x,start y,end x,end y
S104_Median_3,29-Jul-2013,23-Nov-2013,288.2504,1142.203,489.8335,1041.445
S104_Median_3,29-Jul-2013,23-Nov-2013,430.3009,395.1642,489.8335,1041.445
S104_Median_3,29-Jul-2013,23-Nov-2013,294.4146,1150.25,489.8335,1041.445
S104_Median_3,23-Nov-2013,11-Feb-2014,489.8335,1041.445,312.9053,1094.207
S104_Median_3,11-Feb-2014,28-Apr-2014,312.9053,1094.207,594.9439,470.0613
S104_Median_3,28-Apr-2014,29-May-2014,594.9439,470.0613,856.737,535.3334
S104_Median_3,29-May-2014,18-Jun-2014,856.737,535.3334,536.1067,901.2485
S104_Median_3,18-Jun-2014,24-Jul-2014,536.1067,901.2485,632.1898,413.2732
S104_Median_3,24-Jul-2014,09-Apr-2015,632.1898,413.2732,495.0332,967.9327
S104_Median_3,09-Apr-2015,04-Nov-2015,495.0332,967.9327,522.7314,965.2061
S104_Median_3,04-Nov-2015,22-Apr-2016,522.7314,965.2061,682.8634,637.2533
S104_Median_3,04-Nov-2015,22-Apr-2016,522.7314,965.2061,832.9919,554.6564
S104_Median_3,04-Nov-2015,22-Apr-2016,522.7314,965.2061,701.6067,613.379
S104_Median_3,04-Nov-2015,22-Apr-2016,522.7314,965.2061,884.0204,559.6375
S104_Median_3,22-Apr-2016,18-May-2016,682.8634,637.2533,296.9165,935.5836
S104_Median_3,22-Apr-2016,18-May-2016,682.8634,637.2533,276.0125,553.8168
S104_Median_3,22-Apr-2016,18-May-2016,682.8634,637.2533,487.8435,530.2051
S104_Median_3,22-Apr-2016,18-May-2016,832.9919,554.6564,296.9165,935.5836
S104_Median_3,22-Apr-2016,18-May-2016,832.9919,554.6564,276.0125,553.8168
S104_Median_3,22-Apr-2016,18-May-2016,832.9919,554.6564,487.8435,530.2051
S104_Median_3,22-Apr-2016,18-May-2016,701.6067,613.379,296.9165,935.5836
S104_Median_3,22-Apr-2016,18-May-2016,701.6067,613.379,276.0125,553.8168
S104_Median_3,22-Apr-2016,18-May-2016,701.6067,613.379,487.8435,530.2051
S104_Median_3,22-Apr-2016,18-May-2016,884.0204,559.6375,296.9165,935.5836
S104_Median_3,22-Apr-2016,18-May-2016,884.0204,559.6375,276.0125,553.8168
S104_Median_3,22-Apr-2016,18-May-2016,884.0204,559.6375,487.8435,530.2051
S104_Median_3,18-May-2016,21-Jun-2016,296.9165,935.5836,598.5878,515.8239
S104_Median_3,18-May-2016,21-Jun-2016,296.9165,935.5836,597.9368,324.287
S104_Median_3,18-May-2016,21-Jun-2016,276.0125,553.8168,598.5878,515.8239
S104_Median_3,18-May-2016,21-Jun-2016,276.0125,553.8168,597.9368,324.287
S104_Median_3,18-May-2016,21-Jun-2016,487.8435,530.2051,598.5878,515.8239
S104_Median_3,18-May-2016,21-Jun-2016,487.8435,530.2051,597.9368,324.287
S104_Median_3,21-Jun-2016,05-Oct-2016,598.5878,515.8239,885.6918,559.267
S104_Median_3,21-Jun-2016,05-Oct-2016,598.5878,515.8239,1071.129,583.3514
S104_Median_3,21-Jun-2016,05-Oct-2016,598.5878,515.8239,613.2903,305.26
S104_Median_3,21-Jun-2016,05-Oct-2016,597.9368,324.287,885.6918,559.267
S104_Median_3,21-Jun-2016,05-Oct-2016,597.9368,324.287,1071.129,583.3514
S104_Median_3,21-Jun-2016,05-Oct-2016,597.9368,324.287,613.2903,305.26
S104_Median_3,05-Oct-2016,06-Oct-2016,885.6918,559.267,619.9664,282.6014
S104_Median_3,05-Oct-2016,06-Oct-2016,885.6918,559.267,615.3375,278.1049
S104_Median_3,05-Oct-2016,06-Oct-2016,885.6918,559.267,610.8837,274.6034
