x,y
126 ,2125
127 ,2124
127 ,2123
127 ,2122
127 ,2121
127 ,2120
127 ,2119
127 ,2118
127 ,2117
127 ,2116
127 ,2115
127 ,2114
127 ,2113
127 ,2112
127 ,2111
127 ,2110
127 ,2109
127 ,2108
127 ,2107
127 ,2106
127 ,2105
127 ,2104
127 ,2103
127 ,2102
127 ,2101
127 ,2100
127 ,2099
127 ,2098
127 ,2097
127 ,2096
127 ,2095
127 ,2094
127 ,2093
127 ,2092
127 ,2091
127 ,2090
127 ,2089
127 ,2088
127 ,2087
127 ,2086
127 ,2085
127 ,2084
127 ,2083
127 ,2082
127 ,2081
127 ,2080
127 ,2079
127 ,2078
127 ,2077
127 ,2076
127 ,2075
127 ,2074
127 ,2073
127 ,2072
127 ,2071
127 ,2070
127 ,2069
127 ,2068
127 ,2067
127 ,2066
127 ,2065
127 ,2064
127 ,2063
127 ,2062
127 ,2061
127 ,2060
127 ,2059
127 ,2058
127 ,2057
127 ,2056
127 ,2055
127 ,2054
127 ,2053
127 ,2052
127 ,2051
127 ,2050
127 ,2049
127 ,2048
127 ,2047
127 ,2046
127 ,2045
127 ,2044
127 ,2043
127 ,2042
127 ,2041
127 ,2040
127 ,2039
128 ,2038
128 ,2037
128 ,2036
128 ,2035
128 ,2034
128 ,2033
128 ,2032
128 ,2031
128 ,2030
128 ,2029
128 ,2028
128 ,2027
128 ,2026
128 ,2025
128 ,2024
128 ,2023
128 ,2022
128 ,2021
128 ,2020
128 ,2019
128 ,2018
128 ,2017
128 ,2016
128 ,2015
128 ,2014
128 ,2013
128 ,2012
128 ,2011
128 ,2010
128 ,2009
128 ,2008
128 ,2007
128 ,2006
128 ,2005
128 ,2004
128 ,2003
128 ,2002
128 ,2001
128 ,2000
128 ,1999
128 ,1998
128 ,1997
128 ,1996
128 ,1995
128 ,1994
128 ,1993
128 ,1992
128 ,1991
128 ,1990
128 ,1989
128 ,1988
128 ,1987
128 ,1986
129 ,1985
129 ,1984
129 ,1983
129 ,1982
129 ,1981
129 ,1980
129 ,1979
129 ,1978
129 ,1977
129 ,1976
129 ,1975
129 ,1974
129 ,1973
129 ,1972
129 ,1971
129 ,1970
129 ,1969
129 ,1968
129 ,1967
129 ,1966
129 ,1965
129 ,1964
129 ,1963
129 ,1962
129 ,1961
129 ,1960
129 ,1959
129 ,1958
129 ,1957
129 ,1956
129 ,1955
129 ,1954
129 ,1953
129 ,1952
129 ,1951
129 ,1950
130 ,1949
130 ,1948
130 ,1947
130 ,1946
130 ,1945
130 ,1944
130 ,1943
130 ,1942
130 ,1941
130 ,1940
130 ,1939
130 ,1938
130 ,1937
130 ,1936
130 ,1935
130 ,1934
130 ,1933
130 ,1932
130 ,1931
131 ,1930
131 ,1929
131 ,1928
131 ,1927
131 ,1926
131 ,1925
131 ,1924
131 ,1923
131 ,1922
131 ,1921
131 ,1920
131 ,1919
131 ,1918
132 ,1917
132 ,1916
132 ,1915
132 ,1914
132 ,1913
132 ,1912
132 ,1911
132 ,1910
132 ,1909
132 ,1908
132 ,1907
132 ,1906
132 ,1905
133 ,1904
133 ,1903
133 ,1902
133 ,1901
133 ,1900
133 ,1899
133 ,1898
133 ,1897
133 ,1896
133 ,1895
133 ,1894
133 ,1893
133 ,1892
134 ,1891
134 ,1890
134 ,1889
134 ,1888
134 ,1887
134 ,1886
134 ,1885
134 ,1884
134 ,1883
134 ,1882
134 ,1881
134 ,1880
134 ,1879
134 ,1878
135 ,1877
135 ,1876
135 ,1875
135 ,1874
135 ,1873
135 ,1872
135 ,1871
135 ,1870
135 ,1869
135 ,1868
135 ,1867
135 ,1866
135 ,1865
136 ,1864
136 ,1863
136 ,1862
136 ,1861
136 ,1860
136 ,1859
136 ,1858
136 ,1857
136 ,1856
136 ,1855
136 ,1854
136 ,1853
136 ,1852
136 ,1851
137 ,1850
137 ,1849
137 ,1848
137 ,1847
137 ,1846
137 ,1845
137 ,1844
137 ,1843
137 ,1842
137 ,1841
137 ,1840
137 ,1839
137 ,1838
138 ,1837
138 ,1836
138 ,1835
138 ,1834
138 ,1833
138 ,1832
138 ,1831
138 ,1830
138 ,1829
138 ,1828
138 ,1827
138 ,1826
138 ,1825
139 ,1824
139 ,1823
139 ,1822
139 ,1821
139 ,1820
139 ,1819
139 ,1818
139 ,1817
139 ,1816
139 ,1815
139 ,1814
139 ,1813
139 ,1812
140 ,1811
140 ,1810
140 ,1809
140 ,1808
140 ,1807
140 ,1806
140 ,1805
140 ,1804
