x,y
3617.307,3956.026
3621.252,3952.095
3625.197,3948.164
3629.135,3948.171
3633.08,3944.24
3633.087,3940.302
3633.094,3936.365
3633.101,3932.427
3633.108,3928.489
3633.115,3924.551
3637.06,3920.62
3640.998,3920.627
3644.943,3916.696
3648.888,3912.765
3648.895,3908.827
3648.902,3904.889
3648.909,3900.951
3648.917,3897.013
3648.924,3893.075
3648.931,3889.137
3648.938,3885.199
3648.945,3881.261
3648.952,3877.323
3648.959,3873.386
3648.966,3869.448
3648.973,3865.51
3648.98,3861.572
3648.987,3857.634
3648.994,3853.696
3649.001,3849.758
3649.009,3845.82
3652.954,3841.889
3656.891,3841.896
3660.836,3837.965
3664.781,3834.034
3664.789,3830.096
3664.796,3826.158
3664.803,3822.22
3664.81,3818.282
3668.755,3814.352
3668.762,3810.414
3672.7,3810.421
3676.645,3806.49
3680.59,3802.559
3680.597,3798.621
3680.604,3794.683
3680.611,3790.745
3680.618,3786.807
3684.563,3782.876
3688.508,3778.946
3692.453,3775.015
3696.398,3771.084
3696.406,3767.146
3696.413,3763.208
3696.42,3759.27
3696.427,3755.332
3696.434,3751.394
3696.441,3747.456
3696.448,3743.518
3696.455,3739.58
3696.462,3735.642
3696.469,3731.704
3696.476,3727.766
3696.483,3723.828
3696.49,3719.89
3696.498,3715.952
3696.505,3712.014
3696.512,3708.076
3696.519,3704.138
3696.526,3700.2
3696.533,3696.262
3696.54,3692.325
3696.547,3688.387
3696.554,3684.449
3696.561,3680.511
3696.568,3676.573
3700.513,3672.642
3704.458,3668.711
3708.396,3668.718
3712.342,3664.787
3712.349,3660.849
3712.356,3656.911
3712.363,3652.973
3712.37,3649.035
3712.377,3645.097
3716.322,3641.167
3720.26,3641.174
3724.205,3637.243
3728.15,3633.312
3728.157,3629.374
3728.164,3625.436
3728.171,3621.498
3728.178,3617.56
3728.185,3613.622
3732.13,3609.691
3736.068,3609.698
3740.013,3605.767
3743.958,3601.837
3743.965,3597.899
3743.972,3593.961
3743.979,3590.023
3743.987,3586.085
3743.994,3582.147
3747.939,3578.216
3751.877,3578.223
3755.822,3574.292
3759.767,3570.361
3759.774,3566.423
3759.781,3562.485
3759.788,3558.547
3759.795,3554.609
3759.802,3550.671
3759.809,3546.733
3759.816,3542.795
3759.823,3538.858
3759.831,3534.92
3763.776,3530.989
3767.714,3530.996
3771.659,3527.065
3775.604,3523.134
3775.611,3519.196
3775.618,3515.258
3775.625,3511.32
3775.632,3507.382
3775.639,3503.444
3779.577,3503.451
3783.522,3499.521
3787.467,3495.59
3791.412,3491.659
3791.419,3487.721
3795.357,3487.728
3799.302,3483.797
3803.247,3479.866
3807.192,3475.935
3807.199,3471.997
3807.206,3468.059
3807.213,3464.121
3807.22,3460.183
3807.228,3456.245
3807.235,3452.308
3807.242,3448.37
3807.249,3444.432
3811.194,3440.501
3815.139,3436.57
3819.084,3432.639
3823.029,3428.708
3823.036,3424.77
3823.043,3420.832
3823.05,3416.894
3823.057,3412.956
3823.064,3409.018
3823.072,3405.08
3823.079,3401.142
3823.086,3397.204
3823.093,3393.266
3823.1,3389.329
3823.107,3385.391
3823.114,3381.453
3823.121,3377.515
3823.128,3373.577
3823.135,3369.639
3823.142,3365.701
3823.149,3361.763
3823.156,3357.825
3823.164,3353.887
3823.171,3349.949
3823.178,3346.011
3823.185,3342.073
3823.192,3338.135
3823.199,3334.197
3823.206,3330.259
3823.213,3326.321
3823.22,3322.383
3823.227,3318.445
3823.234,3314.507
3823.241,3310.569
3823.249,3306.631
3823.256,3302.693
3823.263,3298.756
3823.27,3294.818
3823.277,3290.88
3823.284,3286.942
3823.291,3283.004
3823.298,3279.066
3823.305,3275.128
3823.312,3271.19
3827.25,3271.197
3831.195,3267.266
3835.14,3263.335
3839.085,3259.404
3839.092,3255.466
3839.099,3251.528
3839.106,3247.59
3839.114,3243.652
3839.121,3239.715
3839.128,3235.777
3839.135,3231.839
3839.142,3227.901
3839.149,3223.963
3839.156,3220.025
3839.163,3216.087
3839.17,3212.149
3839.177,3208.211
3839.184,3204.273
3839.191,3200.335
3839.198,3196.397
3843.144,3192.466
3847.089,3188.535
3851.034,3184.604
3854.979,3180.674
3854.986,3176.736
3854.993,3172.798
3855,3168.86
3855.007,3164.922
3855.014,3160.984
3855.021,3157.046
3855.028,3153.108
3855.035,3149.17
3855.042,3145.232
3855.05,3141.294
3855.057,3137.356
3855.064,3133.418
3855.071,3129.48
3855.078,3125.542
3855.085,3121.604
3855.092,3117.666
3859.037,3113.735
3862.975,3113.742
3866.92,3109.812
3866.927,3105.874
3870.872,3101.943
3870.879,3098.005
3870.886,3094.067
3870.893,3090.129
3870.9,3086.191
3870.907,3082.253
3870.915,3078.315
3870.922,3074.377
3870.929,3070.439
3870.936,3066.501
3870.943,3062.563
3870.95,3058.625
3870.957,3054.687
3874.902,3050.756
3878.84,3050.763
3882.785,3046.833
3886.73,3042.902
3886.737,3038.964
3886.744,3035.026
3886.751,3031.088
3886.758,3027.15
3886.765,3023.212
3886.772,3019.274
3886.78,3015.336
3886.787,3011.398
3886.794,3007.46
3890.732,3007.467
3894.677,3003.536
3898.622,2999.605
3902.567,2995.675
3902.574,2991.737
3902.581,2987.799
3902.588,2983.861
3902.595,2979.923
3902.602,2975.985
3902.609,2972.047
3902.616,2968.109
3902.624,2964.171
3902.631,2960.233
3906.569,2960.24
3910.514,2956.309
3914.459,2952.378
3918.404,2948.447
